symbol,side,quantity,price
MARK:P-BTC-106000-170625,SELL,0.1,421.095482020422
MARK:C-BTC-104500-180625,SELL,0.1,88.57260928325701
MARK:P-BTC-104500-180625,SELL,0.1,0.09999000000000001
MARK:C-BTC-105500-180625,BUY,0.1,0.10001
MARK:P-BTC-103500-180625,BUY,0.1,0.10001
MARK:C-BTC-104500-180625,BUY,0.1,88.590325576743
MARK:P-BTC-104500-180625,BUY,0.1,0.10001
MARK:C-BTC-105500-180625,SELL,0.1,0.09999000000000001
MARK:P-BTC-103500-180625,SELL,0.1,0.09999000000000001
MARK:C-BTC-105000-190625,SELL,0.1,0.09999000000000001
MARK:P-BTC-105000-190625,SELL,0.1,228.33858723766198
MARK:C-BTC-106000-190625,BUY,0.1,0.10001
MARK:P-BTC-104000-190625,BUY,0.1,0.10001
MARK:C-BTC-105000-190625,BUY,0.1,0.10001
MARK:P-BTC-105000-190625,BUY,0.1,228.384259522338
MARK:C-BTC-106000-190625,SELL,0.1,0.09999000000000001
MARK:P-BTC-104000-190625,SELL,0.1,0.09999000000000001
MARK:C-BTC-104500-200625,SELL,0.1,1437.688778053869
MARK:P-BTC-104500-200625,SELL,0.1,0.09999000000000001
MARK:C-BTC-105500-200625,BUY,0.1,437.876344566131
MARK:P-BTC-103500-200625,BUY,0.1,0.10001
MARK:C-BTC-104500-200625,BUY,0.1,1437.976344566131
MARK:P-BTC-104500-200625,BUY,0.1,0.10001
MARK:C-BTC-105500-200625,SELL,0.1,437.788778053869
MARK:P-BTC-103500-200625,SELL,0.1,0.09999000000000001
